ID,Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Speed Limit,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Accident Severity,Traffic Volume,Road Condition,Accident Cause,Region,Vehicle Type
3206,India,2017,August,Thursday,Evening,Rural,Highway,Rainy,355.2129820057617,102,0.0785302195908961,0,Good,Severe,6220.898074573292,Dry,Speeding,North America,Bicycle
3207,Australia,2009,December,Wednesday,Evening,Rural,Street,Rainy,287.7482261800065,60,0.1240059690960667,1,Moderate,Severe,7747.079268824715,Dry,Speeding,North America,Car
3208,Australia,2020,February,Wednesday,Afternoon,Rural,Main Road,Windy,320.1119014128555,91,0.004875372374687,0,Poor,Moderate,583.0724707344857,Snow-covered,Drunk Driving,Asia,Car
3209,China,2008,September,Thursday,Evening,Urban,Main Road,Foggy,169.34553020408583,71,0.0803690109598601,0,Good,Severe,4649.504253852721,Wet,Mechanical Failure,Europe,Motorcycle
3210,Canada,2013,January,Thursday,Evening,Rural,Main Road,Windy,499.1533527152888,98,0.045906716872934,0,Moderate,Severe,3016.16884590266,Icy,Weather,North America,Bicycle
3211,Germany,2014,July,Thursday,Night,Urban,Main Road,Rainy,263.57603895510783,52,0.0242815482035107,1,Good,Severe,1879.5671572521496,Snow-covered,Mechanical Failure,South America,Truck
3212,Japan,2000,December,Sunday,Evening,Urban,Highway,Foggy,440.604078985453,99,0.1926735283525652,0,Moderate,Minor,5715.714370096381,Icy,Distracted Driving,Europe,Car
3213,UK,2008,August,Monday,Afternoon,Rural,Main Road,Windy,493.4012200741445,103,0.1436519994215074,0,Good,Minor,5916.329906915395,Wet,Drunk Driving,Asia,Car
3214,Germany,2007,July,Thursday,Afternoon,Rural,Street,Clear,272.78239355037203,39,0.041939195093192,0,Good,Minor,9631.307599731876,Wet,Mechanical Failure,South America,Motorcycle
3215,USA,2020,August,Tuesday,Evening,Rural,Highway,Clear,189.0022249690498,110,0.1243923451631403,0,Moderate,Minor,3480.6076065558636,Wet,Mechanical Failure,North America,Motorcycle
3216,Japan,2019,June,Monday,Afternoon,Rural,Highway,Clear,54.699761585363184,115,0.2133353884384048,0,Poor,Severe,4860.671063401461,Icy,Speeding,South America,Bicycle
3217,USA,2012,January,Friday,Evening,Rural,Main Road,Snowy,166.0411840551911,67,0.1885071834324809,0,Good,Moderate,1793.8422199600566,Snow-covered,Speeding,Australia,Truck
3218,Australia,2023,April,Tuesday,Morning,Rural,Highway,Windy,252.7484989913783,59,0.0913265418073671,0,Good,Severe,713.203187762873,Icy,Mechanical Failure,South America,Bicycle
3219,Brazil,2001,November,Sunday,Night,Urban,Main Road,Rainy,60.10668868808137,66,0.082007413574348,0,Poor,Moderate,7549.762001398471,Snow-covered,Mechanical Failure,Australia,Car
3220,Australia,2018,December,Tuesday,Morning,Rural,Street,Windy,376.52509332546873,58,0.1777227329299452,0,Poor,Minor,8082.804084658322,Wet,Drunk Driving,Australia,Truck
3221,Japan,2018,April,Saturday,Afternoon,Rural,Street,Rainy,376.5314160684085,63,0.2345327007945483,1,Good,Moderate,4712.563217527724,Dry,Mechanical Failure,Europe,Bicycle
3222,Japan,2002,June,Saturday,Night,Rural,Highway,Clear,461.0712144042238,67,0.0960605851027049,1,Moderate,Severe,2489.459527683222,Dry,Speeding,North America,Car
3223,Japan,2000,June,Friday,Evening,Urban,Highway,Snowy,181.59967068418092,73,0.0067650004844998,1,Moderate,Minor,3490.2302027066876,Dry,Distracted Driving,North America,Motorcycle
3224,USA,2003,May,Friday,Night,Urban,Main Road,Clear,398.2890389911839,62,0.043301528290669,1,Poor,Moderate,6642.16004460411,Dry,Mechanical Failure,Europe,Car
3225,Japan,2018,January,Monday,Afternoon,Urban,Street,Clear,94.7723699868996,93,0.1615373583636989,1,Moderate,Moderate,1665.6465098082033,Icy,Mechanical Failure,Asia,Bicycle
3226,Brazil,2012,April,Wednesday,Night,Rural,Street,Rainy,224.8048219296184,86,0.0130246789008572,0,Poor,Minor,3046.2149626768673,Wet,Speeding,Europe,Truck
3227,Japan,2022,April,Wednesday,Night,Rural,Street,Windy,226.1686578950578,34,0.1095914655544454,0,Poor,Minor,1995.8043711217258,Snow-covered,Speeding,Australia,Motorcycle
3228,Russia,2002,February,Sunday,Evening,Rural,Street,Foggy,281.9476615228854,66,0.2369322383784911,0,Poor,Minor,7791.804113052424,Icy,Weather,Asia,Truck
3229,Germany,2004,February,Wednesday,Night,Rural,Main Road,Rainy,349.0226556481825,41,0.1889396431589572,1,Poor,Severe,3307.1358159445017,Icy,Drunk Driving,Australia,Motorcycle
3230,Russia,2021,September,Wednesday,Morning,Urban,Main Road,Foggy,496.3135957635495,86,0.1344966509181287,1,Poor,Severe,1101.957482107864,Icy,Speeding,Asia,Motorcycle
3231,Australia,2013,November,Sunday,Morning,Rural,Highway,Rainy,266.4149752130814,86,0.2004584320687417,0,Moderate,Moderate,1203.0217586404356,Snow-covered,Drunk Driving,Asia,Truck
3232,Germany,2010,March,Saturday,Afternoon,Rural,Street,Rainy,186.34617056672596,93,0.1314847175953755,0,Poor,Moderate,4016.291759243295,Icy,Drunk Driving,Australia,Bicycle
3233,Australia,2004,October,Sunday,Night,Rural,Highway,Foggy,452.50387675197845,111,0.2064512509666149,1,Good,Minor,9418.607025020996,Wet,Drunk Driving,Europe,Car
3234,Russia,2003,August,Wednesday,Evening,Urban,Main Road,Rainy,340.03228036273697,98,0.0414907568301568,1,Moderate,Severe,9481.17718459794,Wet,Speeding,Australia,Bicycle
3235,Canada,2016,September,Sunday,Morning,Urban,Main Road,Clear,258.950430903419,115,0.1641596161295235,1,Good,Severe,309.8491460438441,Dry,Speeding,Europe,Bicycle
3236,Australia,2006,July,Thursday,Afternoon,Urban,Highway,Windy,71.04497768256019,38,0.1619228103174955,0,Good,Severe,4179.850398571303,Wet,Speeding,North America,Truck
3237,Russia,2016,August,Sunday,Night,Urban,Highway,Foggy,163.52628540001905,82,0.0394058254176331,1,Good,Severe,1316.4039153805852,Dry,Weather,Asia,Bicycle
3238,USA,2023,November,Tuesday,Morning,Rural,Main Road,Windy,241.99287203950823,102,0.0429403447066755,1,Good,Severe,1780.9766384149361,Snow-covered,Drunk Driving,North America,Truck
3239,Brazil,2008,October,Monday,Morning,Urban,Main Road,Clear,180.3382280994253,74,0.1229541756379245,0,Moderate,Severe,1479.7339616348265,Icy,Mechanical Failure,Australia,Bicycle
3240,India,2007,June,Friday,Afternoon,Rural,Street,Foggy,249.30484981525188,100,0.1646639699703605,0,Good,Moderate,7935.242913951896,Snow-covered,Distracted Driving,Asia,Bicycle
3241,Australia,2017,October,Friday,Night,Rural,Main Road,Foggy,408.0993496040455,73,0.1684716540362236,1,Poor,Moderate,5844.7980887998065,Dry,Drunk Driving,Asia,Bicycle
3242,Russia,2003,August,Monday,Night,Rural,Main Road,Rainy,283.69730800402266,50,0.0833357947307303,0,Poor,Minor,1877.3164657085426,Wet,Distracted Driving,South America,Motorcycle
3243,Australia,2004,May,Wednesday,Night,Rural,Highway,Snowy,321.74310359101526,71,0.1347877215313388,1,Good,Minor,9615.1142813273,Dry,Weather,Asia,Truck
3244,Australia,2009,December,Wednesday,Evening,Rural,Highway,Clear,181.73012190445223,112,0.0948152969595388,1,Moderate,Moderate,5644.830191187654,Snow-covered,Distracted Driving,Europe,Bicycle
3245,Australia,2014,January,Tuesday,Afternoon,Urban,Highway,Snowy,228.98773287146545,57,0.0300980257189383,1,Poor,Minor,8741.404550218364,Wet,Mechanical Failure,Europe,Motorcycle
3246,USA,2016,September,Tuesday,Morning,Urban,Main Road,Foggy,218.8210022813908,79,0.112421843799797,1,Moderate,Severe,1560.893618632114,Icy,Distracted Driving,Australia,Motorcycle
3247,India,2023,December,Sunday,Night,Urban,Street,Windy,64.99778008476721,41,0.2449611659690777,0,Moderate,Minor,4618.1825181736795,Snow-covered,Weather,Europe,Car
3248,Russia,2015,November,Friday,Morning,Rural,Street,Snowy,206.8739501915576,102,0.02102791310943,1,Good,Severe,6677.934631813503,Icy,Drunk Driving,Europe,Bicycle
3249,China,2001,October,Sunday,Morning,Rural,Highway,Snowy,460.1213303481819,57,0.0100289019153193,1,Good,Minor,9362.03817237701,Dry,Speeding,Australia,Bicycle
3250,Brazil,2018,January,Tuesday,Afternoon,Urban,Street,Rainy,440.4765337163687,52,0.17410231875087,1,Moderate,Moderate,5491.672704015624,Wet,Distracted Driving,North America,Car
3251,Brazil,2016,November,Wednesday,Night,Rural,Main Road,Rainy,318.09734881736216,103,0.1751300105205956,0,Moderate,Moderate,6619.887526269917,Wet,Weather,Australia,Car
3252,Australia,2004,February,Saturday,Evening,Rural,Main Road,Rainy,348.03013854903844,31,0.1785228768742565,0,Moderate,Moderate,957.625858459405,Wet,Weather,Asia,Truck
3253,USA,2010,December,Friday,Morning,Rural,Highway,Windy,299.9467909408603,71,0.17625085074817,1,Moderate,Severe,7858.6984612609285,Snow-covered,Weather,North America,Car
3254,Russia,2005,February,Wednesday,Morning,Rural,Street,Clear,464.3908112081404,40,0.2196760928068783,1,Moderate,Severe,6612.401435838085,Icy,Weather,Europe,Motorcycle
3255,Brazil,2004,February,Sunday,Evening,Rural,Highway,Snowy,141.88900101396175,65,0.0050070018832371,1,Moderate,Severe,9974.087830001165,Wet,Weather,Europe,Truck
3256,Australia,2015,September,Saturday,Evening,Urban,Main Road,Windy,131.3467151565068,61,0.2102559858323866,1,Good,Severe,960.9384649040517,Icy,Weather,Asia,Truck
3257,Russia,2024,August,Thursday,Afternoon,Rural,Highway,Clear,348.04032193028723,97,0.1549997728163853,0,Good,Moderate,9891.781372331472,Snow-covered,Distracted Driving,Europe,Car
3258,China,2012,July,Sunday,Afternoon,Urban,Highway,Windy,166.0451256787901,71,0.1429462779935707,1,Good,Severe,4640.706090450888,Snow-covered,Distracted Driving,Asia,Motorcycle
3259,Canada,2019,September,Tuesday,Afternoon,Urban,Street,Foggy,337.8465171420487,112,0.2284508251468611,1,Moderate,Minor,3520.59372644804,Snow-covered,Speeding,Europe,Truck
3260,USA,2016,June,Sunday,Afternoon,Urban,Main Road,Foggy,84.72747505836983,33,0.0461989379733397,1,Poor,Moderate,9158.476312436074,Wet,Speeding,Europe,Motorcycle
3261,India,2005,December,Friday,Afternoon,Urban,Main Road,Rainy,167.82319683781455,85,0.0095183635777441,0,Poor,Severe,232.9936633664781,Snow-covered,Drunk Driving,Australia,Car
3262,Brazil,2020,September,Thursday,Afternoon,Rural,Highway,Snowy,299.88098821090966,49,0.2249639186144715,0,Poor,Minor,4676.478789522704,Dry,Drunk Driving,North America,Bicycle
3263,Australia,2017,June,Sunday,Night,Rural,Street,Snowy,386.37613929681487,67,0.0796544736800875,1,Good,Severe,1244.7184739161291,Dry,Mechanical Failure,South America,Truck
3264,Japan,2011,August,Tuesday,Morning,Urban,Highway,Clear,137.24895401801575,43,0.2093917874112735,1,Good,Minor,467.23980990789084,Snow-covered,Drunk Driving,South America,Motorcycle
3265,UK,2016,March,Thursday,Night,Urban,Highway,Foggy,435.9704456518288,98,0.0782339773535012,0,Poor,Moderate,3941.41425411261,Snow-covered,Mechanical Failure,South America,Car
3266,Brazil,2015,June,Wednesday,Evening,Rural,Main Road,Clear,428.3595961002802,55,0.1648888335638347,0,Poor,Moderate,9606.679850911773,Wet,Speeding,South America,Motorcycle
3267,Brazil,2005,March,Saturday,Morning,Urban,Street,Windy,337.1360804601054,83,0.0823592465778372,0,Moderate,Moderate,7282.668011636123,Wet,Drunk Driving,Europe,Bicycle
3268,Germany,2023,April,Thursday,Morning,Urban,Street,Clear,328.3426788520178,54,0.1661785445907133,0,Moderate,Minor,5954.722743533018,Dry,Mechanical Failure,Asia,Bicycle
3269,Australia,2012,November,Wednesday,Morning,Rural,Highway,Clear,276.83761337148337,107,0.2151570565364971,0,Moderate,Severe,9761.046271509877,Icy,Weather,North America,Car
3270,Germany,2022,July,Monday,Morning,Urban,Highway,Windy,164.7634310546443,45,0.1245356507066157,0,Good,Minor,7279.732590825079,Icy,Weather,Europe,Truck
3271,Germany,2021,August,Monday,Morning,Rural,Street,Clear,208.143738742432,92,0.1326733739279224,0,Good,Moderate,1151.4042787606434,Dry,Distracted Driving,Asia,Truck
3272,China,2005,May,Tuesday,Afternoon,Rural,Highway,Clear,416.1659969373584,107,0.1617710528368151,0,Poor,Minor,2978.3346699726662,Snow-covered,Distracted Driving,South America,Car
3273,USA,2006,November,Tuesday,Morning,Urban,Main Road,Foggy,145.72656183915163,30,0.1462483805830565,0,Poor,Severe,9963.25369226538,Snow-covered,Distracted Driving,North America,Truck
3274,Brazil,2015,October,Friday,Morning,Urban,Street,Clear,84.57694333973232,65,0.109156426965109,1,Moderate,Minor,7397.143286621736,Icy,Weather,Australia,Motorcycle
3275,UK,2016,April,Wednesday,Night,Rural,Highway,Windy,254.2899108450179,112,0.230531601264952,1,Poor,Minor,3714.705762104847,Dry,Speeding,Australia,Car
3276,India,2019,December,Monday,Night,Rural,Main Road,Rainy,496.62753232889946,37,0.0585458237869438,0,Moderate,Severe,3537.238471009299,Dry,Mechanical Failure,Australia,Truck
3277,Japan,2019,April,Monday,Morning,Rural,Street,Foggy,346.8339518334234,49,0.0163887275941252,1,Moderate,Severe,2183.5808866567295,Dry,Mechanical Failure,South America,Motorcycle
3278,UK,2002,September,Saturday,Evening,Urban,Highway,Clear,371.6562460939203,48,0.2309110662406994,1,Moderate,Minor,2089.0979626982034,Icy,Mechanical Failure,North America,Motorcycle
3279,UK,2006,September,Wednesday,Evening,Urban,Highway,Clear,86.07885793917265,103,0.1486709309094974,1,Moderate,Minor,1466.4899540917133,Snow-covered,Speeding,North America,Motorcycle
3280,Canada,2006,October,Thursday,Evening,Rural,Highway,Windy,464.79476799567664,114,0.1533168952216389,0,Moderate,Moderate,1863.8322163504513,Snow-covered,Speeding,North America,Car
3281,Germany,2003,February,Wednesday,Evening,Urban,Highway,Windy,85.39717970016542,90,0.1726247135260509,0,Moderate,Severe,3223.007409804782,Icy,Mechanical Failure,North America,Motorcycle
3282,India,2011,July,Saturday,Night,Rural,Street,Foggy,341.80187940145174,100,0.2354365008909641,1,Moderate,Minor,2344.3938586058,Wet,Drunk Driving,Australia,Bicycle
3283,USA,2019,June,Tuesday,Night,Urban,Street,Windy,469.5951186619607,65,0.1414790606439864,1,Good,Severe,4215.2311684229235,Wet,Distracted Driving,Europe,Car
3284,USA,2006,March,Sunday,Morning,Rural,Street,Snowy,318.69352715840694,119,0.2479424608396546,1,Poor,Moderate,5860.973072025428,Snow-covered,Distracted Driving,Europe,Bicycle
3285,India,2003,August,Saturday,Afternoon,Rural,Highway,Clear,289.8691904484965,56,0.0833758615250146,1,Moderate,Severe,5294.525410596121,Dry,Weather,Europe,Motorcycle
3286,USA,2012,March,Wednesday,Evening,Urban,Street,Clear,200.56427071119396,62,0.1496330893407796,1,Moderate,Severe,8874.450253034305,Snow-covered,Weather,North America,Car
3287,Australia,2008,January,Sunday,Evening,Urban,Street,Windy,80.43150663803868,99,0.0579441519935077,1,Poor,Minor,8207.300655057574,Icy,Speeding,Australia,Truck
3288,Australia,2023,August,Saturday,Night,Urban,Main Road,Clear,73.49288701361868,55,0.2331978004567857,0,Good,Minor,1978.2911872622306,Snow-covered,Weather,Asia,Motorcycle
3289,Germany,2002,September,Monday,Morning,Urban,Highway,Foggy,164.14025857405997,90,0.0263168019566568,0,Good,Severe,4997.062898314765,Wet,Distracted Driving,Europe,Car
3290,Russia,2020,February,Thursday,Afternoon,Rural,Street,Rainy,192.8730641461956,40,0.1723351627183239,1,Poor,Minor,758.5307877196681,Dry,Weather,Australia,Car
3291,UK,2001,May,Wednesday,Evening,Rural,Highway,Foggy,253.6078665395589,33,0.0736746310508626,0,Good,Minor,1129.5872919617723,Wet,Drunk Driving,Australia,Car
3292,UK,2005,April,Tuesday,Afternoon,Rural,Highway,Foggy,184.3749766901784,71,0.1482777542476438,0,Moderate,Minor,3519.09046562064,Dry,Mechanical Failure,Australia,Bicycle
3293,Germany,2024,July,Monday,Morning,Rural,Main Road,Foggy,128.77002695291105,74,0.2086394889405523,0,Poor,Severe,7358.534759530194,Dry,Mechanical Failure,South America,Motorcycle
3294,China,2009,November,Friday,Night,Rural,Street,Windy,202.44594869711216,108,0.0187711877596986,0,Poor,Minor,7666.988291618693,Icy,Speeding,Australia,Car
3295,UK,2009,November,Thursday,Night,Rural,Main Road,Foggy,178.46690231827318,50,0.1976592910164278,1,Good,Minor,5869.935426400134,Wet,Weather,North America,Truck
3296,Canada,2013,April,Thursday,Night,Rural,Street,Rainy,317.90899858649027,112,0.0398958442877671,0,Good,Severe,9230.485737363633,Wet,Mechanical Failure,Australia,Bicycle
3297,Australia,2000,May,Monday,Evening,Urban,Street,Clear,262.77982071993665,71,0.1534095725894528,0,Good,Minor,7955.140902490962,Snow-covered,Speeding,Australia,Car
3298,Russia,2006,July,Monday,Evening,Rural,Main Road,Snowy,154.6839361959563,53,0.0412060397846167,1,Good,Minor,2172.219752331741,Icy,Drunk Driving,North America,Bicycle
3299,Canada,2009,October,Wednesday,Morning,Rural,Highway,Windy,324.3136286007454,34,0.1141488140240881,1,Good,Severe,3252.2155308326455,Snow-covered,Mechanical Failure,North America,Bicycle
3300,Germany,2022,December,Saturday,Afternoon,Rural,Highway,Foggy,294.9284833148157,89,0.0373692964140985,1,Good,Minor,2777.1414072717707,Icy,Speeding,Asia,Car
3301,Canada,2005,March,Wednesday,Morning,Rural,Highway,Windy,185.3712219196167,118,0.017977373374423,0,Poor,Minor,8736.186182556208,Wet,Weather,Australia,Truck
3302,USA,2002,July,Monday,Afternoon,Rural,Main Road,Snowy,341.08662278481256,44,0.2180185174730846,1,Moderate,Minor,1684.592837956238,Icy,Mechanical Failure,North America,Truck
3303,USA,2022,November,Wednesday,Afternoon,Rural,Highway,Snowy,298.1109403244529,109,0.0284434639919621,1,Moderate,Minor,4730.396611220412,Snow-covered,Speeding,Australia,Motorcycle
3304,Russia,2015,May,Sunday,Evening,Rural,Highway,Rainy,51.96640704932579,114,0.1923742255434095,1,Moderate,Minor,2813.469029683046,Dry,Weather,South America,Car
3305,Brazil,2010,November,Sunday,Afternoon,Rural,Main Road,Snowy,70.28648561412092,90,0.1672889771569324,0,Good,Moderate,724.8893427506189,Snow-covered,Weather,Australia,Motorcycle
3306,China,2008,September,Tuesday,Evening,Rural,Street,Foggy,401.0980023724149,71,0.2288813653870695,0,Good,Severe,5029.9609303691,Icy,Weather,Australia,Motorcycle
3307,Brazil,2022,September,Thursday,Night,Urban,Main Road,Snowy,289.7385654030949,104,0.0510379804810621,1,Moderate,Severe,2396.232556364173,Snow-covered,Drunk Driving,North America,Motorcycle
3308,China,2017,July,Saturday,Night,Rural,Street,Snowy,226.49033450467823,95,0.0046339248116869,1,Poor,Moderate,9625.57541445151,Icy,Speeding,Europe,Car
3309,Russia,2011,August,Sunday,Morning,Rural,Main Road,Rainy,143.48068407515817,38,0.0903511583300696,1,Good,Moderate,9952.711003423627,Icy,Mechanical Failure,North America,Bicycle
3310,Japan,2001,August,Wednesday,Night,Urban,Main Road,Snowy,102.00025232835284,75,0.1111953458139121,0,Moderate,Severe,8384.371719845365,Wet,Distracted Driving,South America,Truck
3311,Russia,2020,May,Friday,Afternoon,Rural,Main Road,Windy,494.2267128692536,35,0.1285682833058501,1,Poor,Minor,8136.74668086943,Wet,Drunk Driving,Europe,Motorcycle
3312,UK,2004,July,Monday,Evening,Urban,Main Road,Foggy,228.08560145941047,43,0.0016962486621804,0,Good,Minor,1363.0605900824644,Wet,Speeding,Asia,Motorcycle
3313,Russia,2001,February,Sunday,Night,Rural,Main Road,Snowy,356.0149857863597,114,0.2257301491689061,0,Poor,Moderate,2048.3687456948046,Wet,Weather,Australia,Bicycle
3314,Russia,2016,November,Tuesday,Night,Rural,Street,Foggy,453.0603455358797,103,0.1696437864216517,1,Good,Moderate,2892.3202214698094,Snow-covered,Weather,South America,Car
3315,UK,2023,September,Monday,Evening,Urban,Street,Clear,116.51526129773264,90,0.0387451973965328,1,Good,Severe,8562.933074816854,Icy,Speeding,Australia,Bicycle
3316,China,2003,August,Monday,Night,Urban,Street,Clear,451.4680194183399,81,0.0529363961767432,0,Good,Minor,4662.312063990786,Snow-covered,Mechanical Failure,Australia,Motorcycle
3317,Germany,2013,April,Tuesday,Night,Urban,Highway,Windy,115.97145379040848,83,0.2324889172205528,1,Poor,Severe,5936.859636000746,Snow-covered,Speeding,South America,Car
3318,India,2012,May,Tuesday,Night,Urban,Main Road,Snowy,273.9753686931441,114,0.1129102181320058,1,Good,Moderate,2611.327305774496,Wet,Speeding,South America,Truck
3319,Canada,2003,September,Saturday,Night,Urban,Highway,Snowy,155.74063555071467,98,0.0119002276564421,1,Good,Minor,7180.213210940861,Dry,Mechanical Failure,North America,Bicycle
3320,USA,2008,July,Thursday,Morning,Urban,Highway,Rainy,185.6998117844369,37,0.1582753497416268,0,Poor,Moderate,3024.184748972822,Dry,Distracted Driving,Asia,Car
3321,UK,2010,August,Sunday,Night,Urban,Street,Rainy,76.35721046159826,72,0.077361302951948,0,Poor,Moderate,6949.237938566414,Snow-covered,Weather,North America,Truck
3322,India,2022,February,Sunday,Afternoon,Urban,Main Road,Windy,228.0749529837477,106,0.0963735754804499,1,Good,Minor,8911.052282986306,Dry,Mechanical Failure,North America,Motorcycle
3323,India,2012,April,Tuesday,Evening,Rural,Street,Windy,297.2340010168097,118,0.1721205315685942,0,Moderate,Severe,8133.76190472627,Dry,Speeding,South America,Truck
3324,China,2011,November,Thursday,Afternoon,Urban,Highway,Windy,80.84724342105756,54,0.2462856602846254,0,Moderate,Severe,170.13377590652965,Icy,Speeding,Europe,Truck
3325,USA,2010,December,Monday,Evening,Rural,Street,Snowy,417.7354462580944,61,0.182042244284208,1,Poor,Moderate,4231.888921793126,Wet,Weather,Asia,Motorcycle
3326,China,2006,March,Thursday,Evening,Rural,Highway,Rainy,249.50076379294865,88,0.2247578074570429,1,Moderate,Minor,3677.8759608456407,Snow-covered,Drunk Driving,Europe,Bicycle
3327,Canada,2007,September,Thursday,Afternoon,Rural,Street,Rainy,92.44533492113746,92,0.1061921359945037,1,Moderate,Moderate,1358.9310147730619,Dry,Speeding,Asia,Car
3328,Russia,2015,June,Monday,Afternoon,Rural,Main Road,Foggy,61.18070313232277,34,0.089839270115826,1,Good,Severe,207.92245095159876,Snow-covered,Drunk Driving,South America,Bicycle
3329,USA,2015,June,Saturday,Evening,Urban,Main Road,Rainy,265.5497261713166,54,0.0538044168023802,1,Moderate,Minor,6243.973921111504,Wet,Distracted Driving,Europe,Truck
3330,Japan,2009,April,Sunday,Evening,Urban,Street,Snowy,468.9683718994178,95,0.0668581517379273,0,Good,Moderate,3237.6484721974657,Wet,Drunk Driving,Europe,Truck
3331,Japan,2022,November,Tuesday,Evening,Rural,Street,Rainy,169.96530568880047,71,0.2371124759863674,0,Poor,Moderate,8071.11839429847,Dry,Weather,South America,Bicycle
3332,USA,2018,June,Thursday,Night,Urban,Main Road,Rainy,436.66885785980975,52,0.2475728304793836,0,Poor,Severe,8092.249215395841,Snow-covered,Distracted Driving,Australia,Car
3333,Australia,2021,July,Thursday,Morning,Urban,Main Road,Snowy,129.71789410503382,54,0.177210804172406,0,Moderate,Minor,4654.721756204222,Snow-covered,Distracted Driving,South America,Truck
3334,China,2008,July,Saturday,Night,Urban,Street,Rainy,386.4278042936155,99,0.1344976794652926,0,Poor,Severe,1815.4776973212697,Dry,Speeding,Australia,Truck
3335,UK,2017,June,Thursday,Afternoon,Rural,Main Road,Windy,221.76931047081067,102,0.1915434673813712,1,Good,Minor,3123.2396642074013,Icy,Speeding,Australia,Car
3336,Canada,2011,February,Thursday,Morning,Urban,Main Road,Rainy,311.92473824629093,76,0.0088129064951652,1,Poor,Minor,334.69795660161424,Snow-covered,Speeding,Australia,Bicycle
3337,USA,2008,June,Monday,Afternoon,Rural,Main Road,Clear,411.57110967455833,40,0.220458471670465,0,Poor,Severe,6170.596810656038,Wet,Drunk Driving,Asia,Truck
3338,Germany,2007,May,Saturday,Evening,Urban,Street,Foggy,114.95816687250446,82,0.2186707251244336,0,Poor,Minor,3087.407120304735,Wet,Distracted Driving,Australia,Bicycle
3339,Germany,2019,May,Saturday,Afternoon,Urban,Main Road,Snowy,103.06032070509735,74,0.1741810016067998,0,Moderate,Minor,5124.26548616127,Icy,Mechanical Failure,North America,Car
3340,Germany,2015,April,Sunday,Afternoon,Rural,Highway,Foggy,428.09138706431577,45,0.1536792559196466,1,Poor,Severe,4422.505721668091,Icy,Drunk Driving,Europe,Motorcycle
3341,Australia,2014,June,Monday,Afternoon,Rural,Street,Rainy,253.25267275073267,98,0.2373373582439793,0,Moderate,Severe,4909.777794706391,Snow-covered,Distracted Driving,Australia,Motorcycle
3342,Brazil,2004,January,Thursday,Night,Rural,Highway,Snowy,241.0883673148752,93,0.0905286161919181,1,Good,Severe,5217.252312633446,Dry,Mechanical Failure,North America,Car
3343,Japan,2020,January,Saturday,Evening,Urban,Highway,Rainy,275.37528414009114,40,0.0070729612286833,1,Moderate,Minor,213.08348276703356,Snow-covered,Weather,Australia,Motorcycle
3344,China,2009,April,Monday,Afternoon,Rural,Street,Rainy,190.4579997763013,79,0.0855488434639935,0,Good,Severe,6966.828264994199,Wet,Weather,Asia,Car
3345,Russia,2002,October,Monday,Morning,Urban,Highway,Windy,298.8037815422664,100,0.2077384903330857,1,Poor,Minor,1356.2118307304615,Snow-covered,Drunk Driving,North America,Car
3346,China,2018,July,Friday,Evening,Urban,Street,Foggy,298.2711005691342,80,0.0031588172528991,1,Moderate,Moderate,6919.640133385465,Dry,Weather,Europe,Car
3347,Germany,2004,March,Thursday,Evening,Rural,Highway,Clear,260.413129190178,56,0.1568548573152695,1,Poor,Severe,9906.133980462055,Wet,Drunk Driving,Australia,Bicycle
3348,USA,2013,September,Wednesday,Afternoon,Urban,Main Road,Rainy,465.6493430225781,117,0.0540666684722191,0,Good,Severe,937.8870557137526,Wet,Weather,Australia,Bicycle
3349,USA,2013,November,Wednesday,Afternoon,Urban,Main Road,Windy,329.7123687343777,57,0.0246284907577288,0,Moderate,Moderate,6732.668940778198,Wet,Distracted Driving,Europe,Motorcycle
3350,Japan,2008,June,Thursday,Morning,Urban,Main Road,Foggy,481.08674549633065,107,0.1938662496197196,0,Moderate,Moderate,1178.0317249194393,Wet,Speeding,North America,Motorcycle
3351,UK,2015,January,Thursday,Morning,Urban,Street,Rainy,279.1669342657225,76,0.0637274494275093,0,Good,Minor,2642.214762194007,Dry,Mechanical Failure,Australia,Motorcycle
3352,India,2000,August,Saturday,Afternoon,Urban,Main Road,Clear,86.36962499652054,111,0.173929308108793,0,Good,Moderate,2371.4779545954957,Dry,Distracted Driving,Europe,Motorcycle
3353,UK,2014,April,Thursday,Morning,Urban,Highway,Foggy,145.4909789880661,43,0.2179805481888855,1,Good,Severe,7540.2614002036935,Icy,Distracted Driving,Asia,Truck
3354,Russia,2006,August,Sunday,Evening,Urban,Street,Clear,291.0974926389116,87,0.0073617622436115,0,Poor,Minor,7497.130421174669,Snow-covered,Mechanical Failure,Asia,Bicycle
3355,Australia,2005,May,Tuesday,Afternoon,Rural,Main Road,Windy,268.7649507180258,89,0.1056654513502414,1,Moderate,Moderate,9963.80878673781,Dry,Speeding,Australia,Bicycle
3356,India,2014,December,Wednesday,Morning,Urban,Street,Clear,491.06144668581294,106,0.0817764784017614,0,Moderate,Moderate,5238.675335863623,Wet,Mechanical Failure,Europe,Truck
3357,Australia,2011,September,Saturday,Night,Urban,Main Road,Rainy,182.8275395537165,75,0.0261473501953666,0,Poor,Moderate,2153.564775999039,Wet,Weather,Asia,Bicycle
